number_of_violations,grade,facility_zip,STATE,poverty_percent,AirQuality,WaterPollution
12,B,90057,CA,11.0,36.62162162,61.29943503
13,C,90057,CA,11.0,36.62162162,61.29943503
6,A,90057,CA,11.0,36.62162162,61.29943503
15,C,90057,CA,11.0,36.62162162,61.29943503
3,A,90057,CA,11.0,36.62162162,61.29943503
3,A,90036,CA,11.0,36.62162162,61.29943503
3,A,90036,CA,11.0,36.62162162,61.29943503
3,A,90036,CA,11.0,36.62162162,61.29943503
4,A,90036,CA,11.0,36.62162162,61.29943503
3,A,90036,CA,11.0,36.62162162,61.29943503
3,A,90036,CA,11.0,36.62162162,61.29943503
3,A,90038,CA,11.0,36.62162162,61.29943503
5,A,90038,CA,11.0,36.62162162,61.29943503
2,A,90038,CA,11.0,36.62162162,61.29943503
3,A,90038,CA,11.0,36.62162162,61.29943503
22,B,90005,CA,11.0,36.62162162,61.29943503
28,B,90005,CA,11.0,36.62162162,61.29943503
14,A,90005,CA,11.0,36.62162162,61.29943503
3,A,90057,CA,11.0,36.62162162,61.29943503
4,A,90006,CA,11.0,36.62162162,61.29943503
10,A,90006,CA,11.0,36.62162162,61.29943503
6,A,90006,CA,11.0,36.62162162,61.29943503
8,A,90006,CA,11.0,36.62162162,61.29943503
16,A,90063,CA,11.0,36.62162162,61.29943503
8,A,90063,CA,11.0,36.62162162,61.29943503
10,A,90063,CA,11.0,36.62162162,61.29943503
14,A,90063,CA,11.0,36.62162162,61.29943503
8,A,90063,CA,11.0,36.62162162,61.29943503
8,A,90063,CA,11.0,36.62162162,61.29943503
6,A,90027,CA,11.0,36.62162162,61.29943503
10,A,90027,CA,11.0,36.62162162,61.29943503
4,A,90042,CA,11.0,36.62162162,61.29943503
4,A,90042,CA,11.0,36.62162162,61.29943503
5,A,90006,CA,11.0,36.62162162,61.29943503
4,A,90006,CA,11.0,36.62162162,61.29943503
2,A,90006,CA,11.0,36.62162162,61.29943503
5,A,90006,CA,11.0,36.62162162,61.29943503
8,A,90006,CA,11.0,36.62162162,61.29943503
9,B,90006,CA,11.0,36.62162162,61.29943503
10,B,90006,CA,11.0,36.62162162,61.29943503
13,B,90006,CA,11.0,36.62162162,61.29943503
12,B,90006,CA,11.0,36.62162162,61.29943503
7,A,90006,CA,11.0,36.62162162,61.29943503
6,A,90001,CA,11.0,36.62162162,61.29943503
2,A,90001,CA,11.0,36.62162162,61.29943503
14,B,90001,CA,11.0,36.62162162,61.29943503
12,A,90001,CA,11.0,36.62162162,61.29943503
8,A,90001,CA,11.0,36.62162162,61.29943503
8,A,90001,CA,11.0,36.62162162,61.29943503
12,A,90001,CA,11.0,36.62162162,61.29943503
6,A,90001,CA,11.0,36.62162162,61.29943503
4,A,90001,CA,11.0,36.62162162,61.29943503
12,A,90001,CA,11.0,36.62162162,61.29943503
5,A,90064,CA,11.0,36.62162162,61.29943503
5,A,90064,CA,11.0,36.62162162,61.29943503
5,A,90064,CA,11.0,36.62162162,61.29943503
4,A,90064,CA,11.0,36.62162162,61.29943503
8,A,90015,CA,11.0,36.62162162,61.29943503
16,A,90015,CA,11.0,36.62162162,61.29943503
4,A,90015,CA,11.0,36.62162162,61.29943503
6,A,90015,CA,11.0,36.62162162,61.29943503
6,A,90015,CA,11.0,36.62162162,61.29943503
6,A,90015,CA,11.0,36.62162162,61.29943503
6,A,90036,CA,11.0,36.62162162,61.29943503
6,A,90036,CA,11.0,36.62162162,61.29943503
5,A,90036,CA,11.0,36.62162162,61.29943503
2,A,90015,CA,11.0,36.62162162,61.29943503
2,A,90015,CA,11.0,36.62162162,61.29943503
5,A,90015,CA,11.0,36.62162162,61.29943503
4,A,90015,CA,11.0,36.62162162,61.29943503
1,A,90015,CA,11.0,36.62162162,61.29943503
2,A,90037,CA,11.0,36.62162162,61.29943503
2,A,90037,CA,11.0,36.62162162,61.29943503
2,A,90037,CA,11.0,36.62162162,61.29943503
4,A,90064,CA,11.0,36.62162162,61.29943503
3,A,90064,CA,11.0,36.62162162,61.29943503
5,A,90064,CA,11.0,36.62162162,61.29943503
8,A,90034,CA,11.0,36.62162162,61.29943503
2,A,90034,CA,11.0,36.62162162,61.29943503
2,A,90034,CA,11.0,36.62162162,61.29943503
4,A,90034,CA,11.0,36.62162162,61.29943503
4,A,90034,CA,11.0,36.62162162,61.29943503
2,A,90034,CA,11.0,36.62162162,61.29943503
4,A,90015,CA,11.0,36.62162162,61.29943503
6,A,90015,CA,11.0,36.62162162,61.29943503
4,A,90017,CA,11.0,36.62162162,61.29943503
4,A,90017,CA,11.0,36.62162162,61.29943503
8,A,90017,CA,11.0,36.62162162,61.29943503
4,A,90017,CA,11.0,36.62162162,61.29943503
4,A,90017,CA,11.0,36.62162162,61.29943503
5,A,90057,CA,11.0,36.62162162,61.29943503
6,A,90057,CA,11.0,36.62162162,61.29943503
3,A,90057,CA,11.0,36.62162162,61.29943503
2,A,90057,CA,11.0,36.62162162,61.29943503
14,A,90019,CA,11.0,36.62162162,61.29943503
14,A,90019,CA,11.0,36.62162162,61.29943503
14,A,90019,CA,11.0,36.62162162,61.29943503
16,A,90019,CA,11.0,36.62162162,61.29943503
10,A,90019,CA,11.0,36.62162162,61.29943503
12,A,90019,CA,11.0,36.62162162,61.29943503
12,A,90019,CA,11.0,36.62162162,61.29943503
14,A,90019,CA,11.0,36.62162162,61.29943503
16,A,90019,CA,11.0,36.62162162,61.29943503
28,A,90046,CA,11.0,36.62162162,61.29943503
